,연도,학과,학생구분,응시자수,학과_1,학과_2,학과_3,학과_4,학생구분_1,학생구분_2,학생구분_3,학생구분_4,응시자수_1,응시자수_2,응시자수_3,응시자수_4
171,2016,문헌정보과,신입생,77,방송음향영상과,비서사무행정과,사회복지과,산업경영과,신입생,신입생,신입생,신입생,78.0,75.0,79.0,74.0
172,2016,방송음향영상과,신입생,78,비서사무행정과,사회복지과,산업경영과,세무회계과,신입생,신입생,신입생,신입생,75.0,79.0,74.0,76.0
173,2016,비서사무행정과,신입생,75,사회복지과,산업경영과,세무회계과,스포츠지도과,신입생,신입생,신입생,신입생,79.0,74.0,76.0,41.0
174,2016,사회복지과,신입생,79,산업경영과,세무회계과,스포츠지도과,실내디자인과,신입생,신입생,신입생,신입생,74.0,76.0,41.0,117.0
175,2016,산업경영과,신입생,74,세무회계과,스포츠지도과,실내디자인과,언어재활과,신입생,신입생,신입생,신입생,76.0,41.0,117.0,43.0
176,2016,세무회계과,신입생,76,스포츠지도과,실내디자인과,언어재활과,유아교육과,신입생,신입생,신입생,신입생,41.0,117.0,43.0,110.0
177,2016,스포츠지도과,신입생,41,실내디자인과,언어재활과,유아교육과,의공융합과,신입생,신입생,신입생,신입생,117.0,43.0,110.0,43.0
178,2016,실내디자인과,신입생,117,언어재활과,유아교육과,의공융합과,자동차과,신입생,신입생,신입생,신입생,43.0,110.0,43.0,125.0
179,2016,언어재활과,신입생,43,유아교육과,의공융합과,자동차과,자동화시스템과,신입생,신입생,신입생,신입생,110.0,43.0,125.0,75.0
180,2016,유아교육과,신입생,110,의공융합과,자동차과,자동화시스템과,전기과,신입생,신입생,신입생,신입생,43.0,125.0,75.0,73.0
181,2016,의공융합과,신입생,43,자동차과,자동화시스템과,전기과,전자통신과,신입생,신입생,신입생,신입생,125.0,75.0,73.0,80.0
182,2016,자동차과,신입생,125,자동화시스템과,전기과,전자통신과,컴퓨터소프트웨어과,신입생,신입생,신입생,신입생,75.0,73.0,80.0,76.0
183,2016,자동화시스템과,신입생,75,전기과,전자통신과,컴퓨터소프트웨어과,토목환경과,신입생,신입생,신입생,신입생,73.0,80.0,76.0,74.0
184,2016,전기과,신입생,73,전자통신과,컴퓨터소프트웨어과,토목환경과,항공서비스과,신입생,신입생,신입생,신입생,80.0,76.0,74.0,81.0
185,2016,전자통신과,신입생,80,컴퓨터소프트웨어과,토목환경과,항공서비스과,호텔관광과,신입생,신입생,신입생,신입생,76.0,74.0,81.0,74.0
186,2016,컴퓨터소프트웨어과,신입생,76,토목환경과,항공서비스과,호텔관광과,호텔외식서비스과,신입생,신입생,신입생,신입생,74.0,81.0,74.0,83.0
187,2016,토목환경과,신입생,74,항공서비스과,호텔관광과,호텔외식서비스과,호텔조리과,신입생,신입생,신입생,신입생,81.0,74.0,83.0,122.0
188,2016,항공서비스과,신입생,81,호텔관광과,호텔외식서비스과,호텔조리과,건축과,신입생,신입생,신입생,재학생,74.0,83.0,122.0,29.0
189,2016,호텔관광과,신입생,74,호텔외식서비스과,호텔조리과,건축과,건축설비소방과,신입생,신입생,재학생,재학생,83.0,122.0,29.0,20.0
190,2016,호텔외식서비스과,신입생,83,호텔조리과,건축과,건축설비소방과,경영과,신입생,재학생,재학생,재학생,122.0,29.0,20.0,39.0
191,2016,호텔조리과,신입생,122,건축과,건축설비소방과,경영과,기계과,재학생,재학생,재학생,재학생,29.0,20.0,39.0,40.0
192,2016,건축과,재학생,29,건축설비소방과,경영과,기계과,디지털전자과,재학생,재학생,재학생,재학생,20.0,39.0,40.0,26.0
193,2016,건축설비소방과,재학생,20,경영과,기계과,디지털전자과,메카트로닉스과,재학생,재학생,재학생,재학생,39.0,40.0,26.0,40.0
194,2016,경영과,재학생,39,기계과,디지털전자과,메카트로닉스과,모바일인터넷과,재학생,재학생,재학생,재학생,40.0,26.0,40.0,20.0
195,2016,기계과,재학생,40,디지털전자과,메카트로닉스과,모바일인터넷과,문헌정보과,재학생,재학생,재학생,재학생,26.0,40.0,20.0,24.0
196,2016,디지털전자과,재학생,26,메카트로닉스과,모바일인터넷과,문헌정보과,방송음향영상과,재학생,재학생,재학생,재학생,40.0,20.0,24.0,42.0
197,2016,메카트로닉스과,재학생,40,모바일인터넷과,문헌정보과,방송음향영상과,비서사무행정과,재학생,재학생,재학생,재학생,20.0,24.0,42.0,24.0
198,2016,모바일인터넷과,재학생,20,문헌정보과,방송음향영상과,비서사무행정과,사회복지과,재학생,재학생,재학생,재학생,24.0,42.0,24.0,40.0
199,2016,문헌정보과,재학생,24,방송음향영상과,비서사무행정과,사회복지과,산업경영과,재학생,재학생,재학생,재학생,42.0,24.0,40.0,33.0
200,2016,방송음향영상과,재학생,42,비서사무행정과,사회복지과,산업경영과,세무회계과,재학생,재학생,재학생,재학생,24.0,40.0,33.0,38.0
